11.5513 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [2880, 1800]. Using actual size
13.4552 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001BE8F0C1CA0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001BE8F0C1C40>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001BE8F0C1970>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001BE900F34C0>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([2880, 1800]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
13.4554 	EXP 	window1: mouseVisible = True
13.4554 	EXP 	window1: backgroundImage = ''
13.4554 	EXP 	window1: backgroundFit = 'none'
13.4556 	EXP 	window1: mouseVisible = False
13.4556 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
13.4557 	EXP 	window1: recordFrameIntervals = False
13.4861 	DATA 	Keypress: t
13.5702 	EXP 	window1: recordFrameIntervals = True
13.6922 	EXP 	Screen (0) actual frame rate measured at 90.21Hz
13.6923 	EXP 	window1: recordFrameIntervals = False
17.0589 	EXP 	Created fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0.0, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='fixation', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.05, 0.05]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
17.1212 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
17.1310 	EXP 	Imported C:/Users/Khushi/Downloads/discounting conditions.xlsx as conditions, 10 conditions, 3 params
17.1329 	EXP 	Created sequence: random, trialTypes=10, nReps=40, seed=None
17.1335 	EXP 	New trial (rep=0, index=0): {'reward_today': 15, 'future_reward': 35, 'delay': 13}
17.3368 	EXP 	text: height = 0.05
17.3368 	EXP 	text: height = 0.05
17.3368 	EXP 	text: height = 0.05
17.3368 	EXP 	text: text = 'GBP 15 today or GBP 35 after 13 days'
17.3368 	EXP 	fixation: autoDraw = True
18.1367 	EXP 	text: autoDraw = True
18.3376 	EXP 	fixation: autoDraw = False
19.5170 	EXP 	New trial (rep=0, index=1): {'reward_today': 40, 'future_reward': 55, 'delay': 62}
19.5328 	DATA 	Keypress: t
19.5380 	EXP 	fixation: autoDraw = False
19.5380 	EXP 	text: autoDraw = False
19.5380 	EXP 	text: height = 0.05
19.5380 	EXP 	text: height = 0.05
19.5380 	EXP 	text: height = 0.05
19.5380 	EXP 	text: text = 'GBP 40 today or GBP 55 after 62 days'
19.5380 	EXP 	fixation: autoDraw = True
20.3541 	DATA 	Keypress: l
20.5186 	EXP 	text: autoDraw = True
20.5408 	EXP 	fixation: autoDraw = False
21.1215 	DATA 	Keypress: t
21.1320 	EXP 	New trial (rep=0, index=2): {'reward_today': 67, 'future_reward': 75, 'delay': 119}
21.1503 	EXP 	fixation: autoDraw = False
21.1503 	EXP 	text: autoDraw = False
21.1503 	EXP 	text: height = 0.05
21.1503 	EXP 	text: height = 0.05
21.1503 	EXP 	text: height = 0.05
21.1503 	EXP 	text: text = 'GBP 67 today or GBP 75 after 119 days'
21.1503 	EXP 	fixation: autoDraw = True
21.6882 	DATA 	Keypress: l
22.0878 	DATA 	Keypress: t
22.1410 	EXP 	text: autoDraw = True
22.1517 	EXP 	fixation: autoDraw = False
22.9654 	EXP 	New trial (rep=0, index=3): {'reward_today': 78, 'future_reward': 80, 'delay': 162}
22.9764 	DATA 	Keypress: l
22.9812 	EXP 	fixation: autoDraw = False
22.9812 	EXP 	text: autoDraw = False
22.9812 	EXP 	text: height = 0.05
22.9812 	EXP 	text: height = 0.05
22.9812 	EXP 	text: height = 0.05
22.9812 	EXP 	text: text = 'GBP 78 today or GBP 80 after 162 days'
22.9812 	EXP 	fixation: autoDraw = True
23.9701 	EXP 	text: autoDraw = True
23.9813 	EXP 	fixation: autoDraw = False
27.3394 	EXP 	New trial (rep=0, index=4): {'reward_today': 27, 'future_reward': 50, 'delay': 21}
27.3471 	DATA 	Keypress: t
27.3590 	EXP 	fixation: autoDraw = False
27.3590 	EXP 	text: autoDraw = False
27.3590 	EXP 	text: height = 0.05
27.3590 	EXP 	text: height = 0.05
27.3590 	EXP 	text: height = 0.05
27.3590 	EXP 	text: text = 'GBP 27 today or GBP 50 after 21 days'
27.3590 	EXP 	fixation: autoDraw = True
28.3483 	EXP 	text: autoDraw = True
28.3589 	EXP 	fixation: autoDraw = False
29.7383 	EXP 	New trial (rep=0, index=5): {'reward_today': 100, 'future_reward': 150, 'delay': 176}
29.7460 	DATA 	Keypress: t
29.7509 	EXP 	fixation: autoDraw = False
29.7509 	EXP 	text: autoDraw = False
29.7509 	EXP 	text: height = 0.05
29.7509 	EXP 	text: height = 0.05
29.7509 	EXP 	text: height = 0.05
29.7509 	EXP 	text: text = 'GBP 100 today or GBP 150 after 176 days'
29.7509 	EXP 	fixation: autoDraw = True
30.7403 	EXP 	text: autoDraw = True
30.7517 	EXP 	fixation: autoDraw = False
32.1090 	EXP 	New trial (rep=0, index=6): {'reward_today': 134, 'future_reward': 200, 'delay': 207}
32.1189 	DATA 	Keypress: l
32.1260 	EXP 	fixation: autoDraw = False
32.1260 	EXP 	text: autoDraw = False
32.1260 	EXP 	text: height = 0.05
32.1260 	EXP 	text: height = 0.05
32.1260 	EXP 	text: height = 0.05
32.1260 	EXP 	text: text = 'GBP 134 today or GBP 200 after 207 days'
32.1260 	EXP 	fixation: autoDraw = True
33.1140 	EXP 	text: autoDraw = True
33.1252 	EXP 	fixation: autoDraw = False
34.7642 	EXP 	New trial (rep=0, index=7): {'reward_today': 11, 'future_reward': 30, 'delay': 7}
34.7723 	DATA 	Keypress: t
34.7806 	EXP 	fixation: autoDraw = False
34.7806 	EXP 	text: autoDraw = False
34.7806 	EXP 	text: height = 0.05
34.7806 	EXP 	text: height = 0.05
34.7806 	EXP 	text: height = 0.05
34.7806 	EXP 	text: text = 'GBP 11 today or GBP 30 after 7 days'
34.7806 	EXP 	fixation: autoDraw = True
35.7697 	EXP 	text: autoDraw = True
35.7808 	EXP 	fixation: autoDraw = False
36.7725 	EXP 	New trial (rep=0, index=8): {'reward_today': 90, 'future_reward': 100, 'delay': 170}
36.7805 	DATA 	Keypress: l
36.7920 	EXP 	fixation: autoDraw = False
36.7920 	EXP 	text: autoDraw = False
36.7920 	EXP 	text: height = 0.05
36.7920 	EXP 	text: height = 0.05
