trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,tilt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate
0,0,0,0,17.4138342,18.4290988,18.4290988,18.441566,18.7307705,0.5.5,up,1,1.0089529,None,276471,1,2023-10-06_11h38.02.243,EXP2,2023.1.3,89.40305579
1,0,1,0,19.4582944,20.4478806,20.4478806,20.4585997,20.7470387,0.5,up,1,1.6102196,None,276471,1,2023-10-06_11h38.02.243,EXP2,2023.1.3,89.40305579
2,0,2,0,22.0724959,23.0644454,23.0644454,23.0751131,23.3692396,0.5,up,1,0.3019329,None,276471,1,2023-10-06_11h38.02.243,EXP2,2023.1.3,89.40305579
3,0,3,0,23.3836558,24.3748347,24.3748347,24.386045,24.6756362,0.5,up,1,2.1906486,None,276471,1,2023-10-06_11h38.02.243,EXP2,2023.1.3,89.40305579
4,0,4,0,26.5914813,27.5809741,27.5809741,27.5918396,,3,down,1,0.101656,None,276471,1,2023-10-06_11h38.02.243,EXP2,2023.1.3,89.40305579
5,0,5,0,27.7053063,28.6977115,28.6977115,28.7079703,,-4,up,0,0.2341408,None,276471,1,2023-10-06_11h38.02.243,EXP2,2023.1.3,89.40305579
6,0,6,0,28.9581539,29.9526291,29.9526291,29.9633559,,0.5,down,1,0.0321964,None,276471,1,2023-10-06_11h38.02.243,EXP2,2023.1.3,89.40305579
7,0,7,0,30.0028984,30.9918685,30.9918685,31.0029512,31.2919436,0.5,down,0,0.3507987,None,276471,1,2023-10-06_11h38.02.243,EXP2,2023.1.3,89.40305579
8,0,8,0,31.3611495,32.3580837,32.3580837,32.3699273,,0.5,up,1,0.1019944,None,276471,1,2023-10-06_11h38.02.243,EXP2,2023.1.3,89.40305579
9,0,9,0,32.4915091,33.4808022,33.4808022,33.4920525,33.78019,0.5,up,1,0.3466578,None,276471,1,2023-10-06_11h38.02.243,EXP2,2023.1.3,89.40305579
10,0,10,0,33.8501191,34.8471792,34.8471792,34.8582267,,0.5,up,1,0.1335726,None,276471,1,2023-10-06_11h38.02.243,EXP2,2023.1.3,89.40305579
11,0,11,0,34.9945401,35.9860072,35.9860072,35.9974824,,0.5,up,1,0.0273717,None,276471,1,2023-10-06_11h38.02.243,EXP2,2023.1.3,89.40305579
12,0,12,0,36.0354286,37.0251747,37.0251747,37.0364005,37.3247715,0.5,up,1,0.3264646,None,276471,1,2023-10-06_11h38.02.243,EXP2,2023.1.3,89.40305579
13,0,13,0,37.3714132,38.3639732,38.3639732,38.374831,,0.5,up,1,0.2714386,None,276471,1,2023-10-06_11h38.02.243,EXP2,2023.1.3,89.40305579
14,0,14,0,38.6584679,39.6521501,39.6521501,39.6635729,39.9524629,-5,down,1,0.6989911,None,276471,1,2023-10-06_11h38.02.243,EXP2,2023.1.3,89.40305579
15,0,15,0,40.3690321,41.3577782,41.3577782,41.3690255,,0.5,down,0,0.2366032,None,276471,1,2023-10-06_11h38.02.243,EXP2,2023.1.3,89.40305579
16,0,16,0,41.6160121,42.608458,42.608458,42.6190158,42.9079371,0.5,up,1,0.3546836,None,276471,1,2023-10-06_11h38.02.243,EXP2,2023.1.3,89.40305579
17,0,17,0,42.9806508,43.9691488,43.9691488,43.9805107,44.272503,0.5,up,1,0.2813697,None,276471,1,2023-10-06_11h38.02.243,EXP2,2023.1.3,89.40305579
18,0,18,0,44.272503,45.2687887,45.2687887,45.2804455,45.5691135,0.5,down,0,0.3054195,None,276471,1,2023-10-06_11h38.02.243,EXP2,2023.1.3,89.40305579
19,0,19,0,45.5933385,46.5856455,46.5856455,46.597638,,0.5,up,1,0.0348791,None,276471,1,2023-10-06_11h38.02.243,EXP2,2023.1.3,89.40305579
20,0,20,0,46.6466927,47.6357313,47.6357313,47.6466463,,-3,up,0,0.1729666,None,276471,1,2023-10-06_11h38.02.243,EXP2,2023.1.3,89.40305579
21,0,21,0,47.8264783,48.8195812,48.8195812,48.8300167,,0.5,up,1,0.1327179,None,276471,1,2023-10-06_11h38.02.243,EXP2,2023.1.3,89.40305579
22,0,22,0,48.9689709,49.9633082,49.9633082,49.9740414,,-2,up,0,0.2312868,None,276471,1,2023-10-06_11h38.02.243,EXP2,2023.1.3,89.40305579
23,0,23,0,50.2140573,51.2020375,51.2020375,51.2131522,,0.5,down,0,0.0658194,None,276471,1,2023-10-06_11h38.02.243,EXP2,2023.1.3,89.40305579
24,0,24,0,51.2824186,52.2745229,52.2745229,52.2857693,52.5744815,0.5,down,0,0.3115436,None,276471,1,2023-10-06_11h38.02.243,EXP2,2023.1.3,89.40305579
25,0,25,0,52.6023256,53.5915966,53.5915966,53.6022241,,0.5,up,1,0.0018621,None,276471,1,2023-10-06_11h38.02.243,EXP2,2023.1.3,89.40305579
26,0,26,0,53.6156099,54.6083577,54.6083577,54.6278086,,-5,up,0,0.2532676,None,276471,1,2023-10-06_11h38.02.243,EXP2,2023.1.3,89.40305579
27,0,27,0,54.8833716,55.8806151,55.8806151,55.89142,,0.5,up,1,0.2234694,None,276471,1,2023-10-06_11h38.02.243,EXP2,2023.1.3,89.40305579
28,0,28,0,56.1263984,57.11906,57.11906,57.1297552,,4,up,0,0.2182852,None,276471,1,2023-10-06_11h38.02.243,EXP2,2023.1.3,89.40305579
29,0,29,0,57.358291,58.3465055,58.3465055,58.3575573,,-1,down,1,0.1495706,None,276471,1,2023-10-06_11h38.02.243,EXP2,2023.1.3,89.40305579
30,0,30,0,58.5147909,59.5082987,59.5082987,59.5190017,,0.5,up,1,0.2556025,None,276471,1,2023-10-06_11h38.02.243,EXP2,2023.1.3,89.40305579
31,0,31,0,59.7827308,60.7744947,60.7744947,60.7862029,,0.5,up,1,0.0825017,None,276471,1,2023-10-06_11h38.02.243,EXP2,2023.1.3,89.40305579
32,0,32,0,60.8823316,61.874622,61.874622,61.8858444,,0.5,down,1,0.1314029,None,276471,1,2023-10-06_11h38.02.243,EXP2,2023.1.3,89.40305579
33,0,33,0,62.0251773,63.0133108,63.0133108,63.0246847,,-4,up,0,0.0792412,None,276471,1,2023-10-06_11h38.02.243,EXP2,2023.1.3,89.40305579
34,0,34,0,63.1163346,64.1074725,64.1074725,64.1195002,,0.5,down,0,0.0590709,None,276471,1,2023-10-06_11h38.02.243,EXP2,2023.1.3,89.40305579
35,0,35,0,64.1908193,65.1851858,65.1851858,65.1970993,65.4857983,4,up,0,0.349493,None,276471,1,2023-10-06_11h38.02.243,EXP2,2023.1.3,89.40305579
36,0,36,0,65.5580039,66.5464492,66.5464492,66.5579621,66.846954,3,up,0,0.344995,None,276471,1,2023-10-06_11h38.02.243,EXP2,2023.1.3,89.40305579
37,0,37,0,66.9050542,67.8965013,67.8965013,67.9074966,68.2020179,0.5,up,1,0.2886901,None,276471,1,2023-10-06_11h38.02.243,EXP2,2023.1.3,89.40305579
38,0,38,0,68.2020179,69.191357,69.191357,69.2019222,,-4,up,0,0.1412926,None,276471,1,2023-10-06_11h38.02.243,EXP2,2023.1.3,89.40305579
39,0,39,0,69.3500149,70.3464169,70.3464169,70.3582591,,0.5,down,0,0.0491844,None,276471,1,2023-10-06_11h38.02.243,EXP2,2023.1.3,89.40305579
40,0,40,0,70.4153487,71.4072245,71.4072245,71.4183284,,0.5,up,1,0.1877248,None,276471,1,2023-10-06_11h38.02.243,EXP2,2023.1.3,89.40305579
41,0,41,0,71.6128019,72.6022725,72.6022725,72.6128684,72.901744,-1,up,0,0.4745946,None,276471,1,2023-10-06_11h38.02.243,EXP2,2023.1.3,89.40305579
42,0,42,0,73.0925258,74.085557,74.085557,74.0962744,,0.5,down,0,0.2444534,None,276471,1,2023-10-06_11h38.02.243,EXP2,2023.1.3,89.40305579
43,0,43,0,74.3460833,75.3409754,75.3409754,75.352091,,0.5,up,0,0.0317887,None,276471,1,2023-10-06_11h38.02.243,EXP2,2023.1.3,89.40305579
44,0,44,0,75.3905312,76.3797042,76.3797042,76.3907186,,2,down,1,0.021805,None,276471,1,2023-10-06_11h38.02.243,EXP2,2023.1.3,89.40305579
45,0,45,0,76.4157906,77.4069065,77.4069065,77.4183639,77.7070798,0.5,up,1,0.8707998,None,276471,1,2023-10-06_11h38.02.243,EXP2,2023.1.3,89.40305579
46,0,46,0,78.3015709,79.2910311,79.2910311,79.3020889,,-4,down,1,0.0250058,None,276471,1,2023-10-06_11h38.02.243,EXP2,2023.1.3,89.40305579
47,0,47,0,79.3369641,80.3298418,80.3298418,80.3410438,,0.5,down,0,0.2148135,None,276471,1,2023-10-06_11h38.02.243,EXP2,2023.1.3,89.40305579
48,0,48,0,80.5684045,81.5569498,81.5569498,81.5681654,,4,down,1,0.1503234,None,276471,1,2023-10-06_11h38.02.243,EXP2,2023.1.3,89.40305579
49,0,49,0,81.7263582,82.7184478,82.7184478,82.7291239,,-1,down,1,0.246274,None,276471,1,2023-10-06_11h38.02.243,EXP2,2023.1.3,89.40305579
50,0,50,0,82.9914808,83.9793141,83.9793141,84.0014354,,0.5,down,0,0.1441653,None,276471,1,2023-10-06_11h38.02.243,EXP2,2023.1.3,89.40305579
51,0,51,0,84.137044,85.1356934,85.1356934,85.1461899,85.4354118,0.5,down,0,0.320336,None,276471,1,2023-10-06_11h38.02.243,EXP2,2023.1.3,89.40305579
52,0,52,0,85.4709104,86.4627313,86.4627313,86.474164,86.7623367,0.5,up,1,0.4102356,None,276471,1,2023-10-06_11h38.02.243,EXP2,2023.1.3,89.40305579
53,0,53,0,86.890907,87.8792327,87.8792327,87.8901885,,-5,down,1,0.0721764,None,276471,1,2023-10-06_11h38.02.243,EXP2,2023.1.3,89.40305579
54,0,54,0,87.9716243,88.96264,88.96264,88.9743886,89.2627753,0.5,down,0,0.326229,None,276471,1,2023-10-06_11h38.02.243,EXP2,2023.1.3,89.40305579
55,0,55,0,89.3134841,90.3067414,90.3067414,90.3181637,,2,down,1,0.1119147,None,276471,1,2023-10-06_11h38.02.243,EXP2,2023.1.3,89.40305579
56,0,56,0,90.4465473,91.4345723,91.4345723,91.4457528,,-2,up,0,0.1606993,None,276471,1,2023-10-06_11h38.02.243,EXP2,2023.1.3,89.40305579
57,0,57,0,91.6145682,92.6072794,92.6072794,92.6189232,92.9075346,0.5,down,0,0.9354655,None,276471,1,2023-10-06_11h38.02.243,EXP2,2023.1.3,89.40305579
58,0,58,0,93.5679974,94.5566408,94.5566408,94.5680141,,-1,down,1,0.1335954,None,276471,1,2023-10-06_11h38.02.243,EXP2,2023.1.3,89.40305579
59,0,59,0,94.7041742,95.7016194,95.7016194,95.7131498,,3,up,0,0.0472431,None,276471,1,2023-10-06_11h38.02.243,EXP2,2023.1.3,89.40305579
60,0,60,0,95.7700819,96.7624133,96.7624133,96.7735269,,1,up,0,0.1592543,None,276471,1,2023-10-06_11h38.02.243,EXP2,2023.1.3,89.40305579
61,0,61,0,96.9464766,97.9347968,97.9347968,97.9464292,,0.5,down,0,0.1104947,None,276471,1,2023-10-06_11h38.02.243,EXP2,2023.1.3,89.40305579
62,0,62,0,98.0597752,99.0518938,99.0518938,99.0623209,,0.5,down,0,0.2355232,None,276471,1,2023-10-06_11h38.02.243,EXP2,2023.1.3,89.40305579
63,0,63,0,99.3129084,100.3076342,100.3076342,100.317976,,0.5,down,0,0.1137953,None,276471,1,2023-10-06_11h38.02.243,EXP2,2023.1.3,89.40305579
64,0,64,0,100.4460962,101.4351096,101.4351096,101.4458501,,4,up,0,0.0500865,None,276471,1,2023-10-06_11h38.02.243,EXP2,2023.1.3,89.40305579
65,0,65,0,101.5029036,102.4960179,102.4960179,102.50715,102.7954816,0.5,up,1,0.3457261,None,276471,1,2023-10-06_11h38.02.243,EXP2,2023.1.3,89.40305579
66,0,66,0,102.8683705,103.8567066,103.8567066,103.8687505,,0.5,up,1,0.2639532,None,276471,1,2023-10-06_11h38.02.243,EXP2,2023.1.3,89.40305579
67,0,67,0,104.1370405,105.1287549,105.1287549,105.1401557,105.4291444,2,up,0,0.3249651,None,276471,1,2023-10-06_11h38.02.243,EXP2,2023.1.3,89.40305579
68,0,68,0,105.4788249,106.46803,106.46803,106.4787502,106.7683635,0.5,up,1,0.4227991,None,276471,1,2023-10-06_11h38.02.243,EXP2,2023.1.3,89.40305579
69,0,69,0,106.9051228,107.8953913,107.8953913,107.9070226,,0.5,down,0,0.253173,None,276471,1,2023-10-06_11h38.02.243,EXP2,2023.1.3,89.40305579
70,0,70,0,108.1686353,109.1569086,109.1569086,109.1684698,,0.5,up,1,0.1952734,None,276471,1,2023-10-06_11h38.02.243,EXP2,2023.1.3,89.40305579
71,0,71,0,109.3706843,110.3679279,110.3679279,110.3794704,,0.5,up,1,0.271685,None,276471,1,2023-10-06_11h38.02.243,EXP2,2023.1.3,89.40305579
72,0,72,0,110.6606114,111.6507078,111.6507078,111.6631891,,0.5,up,0,0.2223226,None,276471,1,2023-10-06_11h38.02.243,EXP2,2023.1.3,89.40305579
73,0,73,0,111.8906514,112.8789263,112.8789263,112.8896761,,0.5,up,1,0.1814788,None,276471,1,2023-10-06_11h38.02.243,EXP2,2023.1.3,89.40305579
74,0,74,0,113.0812473,114.0735507,114.0735507,114.0842182,,-1,up,0,0.2203238,None,276471,1,2023-10-06_11h38.02.243,EXP2,2023.1.3,89.40305579
75,0,75,0,114.3121245,115.3071722,115.3071722,115.3178788,,0.5,down,0,0.0210375,None,276471,1,2023-10-06_11h38.02.243,EXP2,2023.1.3,89.40305579
76,0,76,0,115.3462755,116.3344012,116.3344012,116.3462015,,2,up,0,0.255785,None,276471,1,2023-10-06_11h38.02.243,EXP2,2023.1.3,89.40305579
77,0,77,0,116.6039058,117.5951484,117.5951484,117.6065213,,-3,down,1,0.0682171,None,276471,1,2023-10-06_11h38.02.243,EXP2,2023.1.3,89.40305579
